"4","Скажите, где можно приобрести эту сеточку?"
"5","Заварює смачну каву!"
"4","Доступная цена, компактная. За такие деньги можно закрыть глаза на небольшие недостатки"
"4","бюджетний варіант виконання кавоварки, користуюся тиждень, нарікань немає) кава заварюється непогана, користуюся на роботі, так як вдома є еспресо машина, то є з чим порівняти).Щоб отримати ароматну каву, потрібно використовувати свіжозмелені зерна хорошої якості. (ціна=якість апарату). загалом задоволена."
"3","Скільки мл. кави виходить за одне приготування?"
"5","Пользуюсь год- каждый день,мне очень нравится!Достаточно горячий кофе или чай, немного неудобно доставать ситечко, а в остальном супер кофеварка!"
"1","Сеточка очень маленькая, кофе вместе с гущей переливаеться через сеточку и попадает в чашку. А если включать - выключать, чтобы не переливалось, то кофе готовиться минут 20 и получаеться еле теплым."
"5","Мне приходилось пользоваться дешевыми кофеварками, и впечатление было, мягко говоря, не очень. Эта же кофеварка варит кофе ничем не хуже, чем капельные кофеварки среднего ценового сегмента (дорогие не пробовала). Если вы варите крепкий кофе, особенно с добавлением молока, то одной чашки хватит на двоих человек, а расход кофе в 2 раза меньше, чем в эспрессо-кофеварке, так как там из одной порции кофе две не сделаешь - можно переварить, и вкус кофе будет не очень. Приятно, что пластмасса хоть и недорогая, но без запаха и нет ощущение, что сейчас разлетится в руке. Купила родителям, чтобы не пили дешевый растворимый недокофе, все довольны."
"5","Хорошо работает уже полгода. Нормальная такая кофеварка для командировок."
"5","Небольшой размер аппарата, простота использования, время приготовления (3-5 мин) делают товар привлекательным и в качестве подарка!"
"5","можно смело брать для бюджетного варианта на работу )"
"5","чашку кофе варит примерно за 3-5 минут, кофе отменный. мне нравится!"
"4","На свою цену пойдет."
"5","На свои деньги отличная кофеварка, вкус кофе очень насыщенный."
"4","Гарна кавоварка, мені сподобалась.Підходить для холостяка, який не хоче викидати гроші на дорогі кавоварки,"
"4","Неплохой товар за такую цену!"
"5","Отличная кофеварка за такую цену"
"5","оказалась хорошая, и очень удобная в поездке вещь, особенно, когда нет плиты под рукой сварить нормальный кофе. Преимущество - низкая мощность аппарата, кофе приготавливается минут 7-9, вкус становится насыщенным, как в джезве."
