"5","всё хорошо, мне товар нравится"
"3","300 ст кави можна приготувати."
"5","покупали на работу. нам подошла. каждый день варим кофе."
"5","Отличная штука, намного удобнее, чем на плите в турке кофе варить. Очень быстро готовит вкусный кофе!"
"5","Закипает достаточно быстро. Удобно использовать не только для кофе — если нужно вскипятить чашку воды или молока."
"5","Удобная. Качественная сборка. Без запаха пластмассы и др. посторонних запахов.Вода закипела за 4 минуты - не мгновенно (что очень хорошо как для варки кофе). Кофе лучше варить в несколько приемов (сос снятием). Проста в использовании. Мечта для кофеманов:-)))"
"5","Взяли в офис, очень удобно и быстро, занимает мало места. Все довольны."
"5","Замечательная турка! Готовлю с удовольствием, угощаю коллег, все в восторге. Готовить кофе удобно и быстро: засыпал фракцию, налил ледяной воды, подождал 2 минуты, только появилась ""рябь"" на поверхности нужно снять с базы и дать кофе немного времени (минуты 4-5) экстрагироваться. Поставил повторно, секунд через 20-30, как только появились признаки закипания, снять с базы и разлить по чашкам."
"5","Отличная кофеварка! Очень быстро закипает, так что лучше далеко не отходить) Это же не электрочайник!"
"5","Кофеварка отличная. Свои функции выполняет на ура. Вода в ней закипает быстро, поэтому зевать пока варишь кофе не стоит."
"5","Дуже чудова річ! Купила по акції, ціна приємно вразила. Тепер мої ранки наповнені п'янким кавовим ароматом...) Користуюся вже рівно місяць. Нарікань в роботі немає. Одного разу недодивилася і кава збігла, але то мій промах, тому в недоліки зарахувати не можу)"
"3","Качество товара хорошее. Был бы плавный регулятор мощности, или меньше мощность... В обычной турке кофе получается гораздо вкуснее!"
"5","Пару дней назад купила эту эклектическую кофеварку, осталась очень довольна. Система очень простая и легка в использовании. Кофе готовиться за 2 мин, и это колоссально экономит время. Еще очень удобная чаша, поскольку рассчитана на 3-4 чашки. Всем советую, цена доступная, а качество отличное! #мояраспаковка"
"5","Отличный вариант на работе, если нет кофемашины. За 1 раз можно приготовить 2 чаши кофе, 2 минуты по времени. Для любителей кофе в турке - принцип ничем не отличается от обычной. Главное - вовремя снять, не доводя воду до бурления. Качество напитка зависит только от самого кофе. Кстати, электрочайник можно не покупать - турка его полностью заменяет: большая чашка кипятка за те же 2 минуты."
"5","Понравилась, быстро и удобно, помогает просыпаться, если не проснуться, кофе будет на столе)).Если серьёзно, нужно просто во время выключить или снять и помешать кофе. Хороший дизайн, ручка удобная, объёма хватает на двоих."
"5","Кофе хороший выходит"
"2","Я заздрю тим, хто освоїв цього монстра :) Я користувався нею лиш кілька разів, але кави так і не попив... бо як тільки вода закипає, то все вилітає назовні"
"5","#мояраспаковка Долгое время заваривал кофе просто заливая кипятком и накрывая крышкой. На сайте розетки увидел кофеварку фирмы ""горенье"" и, зная про фирму только положительные отзывы, заказал себе. Нормально всё - пришла за два дня, кофе варит, требует вашего присутствия чтобы вовремя выключить, но так как закипает за полторы минуты, не проблема подождать. хотите не ждать - есть модель за 1900 грн ))). Рекомендую проверено."
"5","очень быстро доставили...готовил кофе ""Папуа — Новая Гвинея""-получается вкусный очень даже неплохо..."
"5","Отличный вариант для работы"
"5","В целом рекомендую. Не любитель кофе, но в этой турке кофе получается отличный"
"5","супер кавоварка"
"5","удачный вариант"
"5","Быстро нагревает, даже слишком. Хотя для спешащих по утрам (и не только) как раз подходит. Нужно следить, чтобы пенка не ""убежала"". Приятное и симпатичное дополнение на кухне."
"5","+++++"
"4","В принципе. вещь хорошая. Кофе получается вкусный.. Есть регулятор включения-выключения, что очень хорошо. Рекомендую всем офисным работникам.. Или тем, кто часто путешествует, но не хочет тратить деньги на уличный кофе."
"5","Отличное решение для офиса или других мест, где нет возможности варить кофе в турке на газу. Кофе получается гораздо вкуснее, чем из капельной кофеварки."
"5","Главное помнить что это турка, а не электрочайник который выключается автоматически."
"5","Превзошла мои ожидания. Кофе в турке ( пусть и электро) в офисе - это класс!"
"5","мечтала о ней три года, но раньше как-то обходилась гейзерной. Но вот родители мужа сделали подарок - индукционную плитку, и к ней гейзерная кофеварка не подошла))) Алилуйя))) муж купил на годовщину свадьбы кофеварочку))) варит отлично - особенно если придерживаться инструкции и давать подняться два раза с перерывом и помешиванием. ну и конечно же брать качественный кофе, а не непонятно что... лично я довольна как слон!!! Спасибо Розетке и за плитку и за кофеварку!!!"
"5","Проста в использовании ,качественная турка , мне понравилась =)"
"5","Спасибо! Всё отлично! Вам удач!"
"5","Заказал ещё одну маме! Очень понравилась"
"5","отличная кофеварка для пользования в офисе! Закипает за 40 секунд , на 1 полную чашку порция. Не понимаю людей , которые говорят что закипая кофе вытекает ? Конечно вытекает, на газовой горелке тоже ведь контролировать нужно чтоб не убежало и снимать во время) Просто включив кофеварку, нужно контролировать, появится пенка- сразу снять с подставки , и наслаждаться прекрасным вкусом настоящего кофе!"
"5","Для офиса - то, что надо."
"5","Пользуюсь пятый год. Только для получения кипятка (варить в ней кофе не додумывался, и никому не рекомендую). Завариваю молотый в кружке. Главное - подобрать кофе и , немаловажно, помол. Кто-то боится брать за ручку? Зря. Все достаточно надежно. Отсутствие отключения - данность, которую нужно учитывать до покупки. Мне не хватало отключения неделю-две, потом привык и оценил."
"3","Турка нормальная, жить с ней можно. Все время беру за пластиковый обод, ручка пугает меня. Кофе варится очень быстро, некоторые сорта не раскрывает никак - лучше бы закипала чуть дольше. Но не страшно, подберу вкусный и буду варить. По сути это чайничек - стакан воды вскипает за минуту-две - удобно. Рекомендую мыть сразу после варки, молоть кофе мелко."
"5","Удобная штуковина, посте получения на новой почте пришел домой, проверил. Залив водички, включил и как не странно закипела вода очень быстро, в приделах 2 минут. Хотя было странным что на сайте написано страна производитель Турция, а на коробке Китая."
"5","На турке написан производитель - Турция, а на коробке - Китай, кто-то нас дурит... )))"
"4","Поставила оценку 4 только из-за не отключается сама. А вцелом нормальная вещица, которая радует свежесваренным кофе"
"5","Купила папе на подарок. Любит кофе , но не любит долго заморачиватся и его готовить. Идеальное решение. Хороший маленький подарок ."
"5","Рекомендую гарний подарунок. Завдяки компактності можна використовувати як вдома так і на роботі."
"5","Купили на подарок родителям. Довольны. 2 года гарантии радуют."
"4","Вполне хорошая турка! Такого кофе, как в гейзерной кофеварке вы конечно не получите, но если нет другого выхода - то это вполне отличный вариант! Лучше, чем пить растворимый..."
"5","Отличный товар, рекомендую."
"1","Взяли в офис. удобна все довольны. в эксплуатации опасна. закипает ее снимают с постамента наливаю в чашку а потом возвращают на место забывая выключить. рядом повесили табличку чтоб турку не ставили на постамент."
"5","Пользуюсь на даче, отличная турка за совю цену"
"5","Очень полюбила эту турку сразу. Классная штука, спасает и радует каждый день :)"
"5","прикольная турка, не хватает автовыключения ))))"
"5","Отличная кофеварка"
"5","Хорошая вещь."
"5","Очень удобная вещь для путешествий."
"5","Как по мне, хороший аппарат. Практично, очень быстро и вкусно. И цена не высока. Единственное - необходимо следить за готовкой, как только пена начнет подниматься, необходимо сразу отключать, но это дело привычки."
